details,date,city,state,country,shape,summary,report_date,posted_date,image
https://nuforc.org/sighting/?id=173663,12/31/2022 23:00,cartersville,GA,USA,Triangle,it was very frightening,01/01/2023,03/06/2023,
https://nuforc.org/sighting/?id=174058,12/31/2022 22:55,Liberty Hill,TX,USA,Circle,"Late evening, New Years eve 2022, observed small object flying quickly, very low and almost directly over.",01/22/2023,03/06/2023,Y
https://nuforc.org/sighting/?id=173667,12/31/2022 22:45,Navarette,Santiago Province,Dominican Republic,Triangle,"Black Triangular UFO with three lights, one on each corner",01/01/2023,03/06/2023,
https://nuforc.org/sighting/?id=173699,12/31/2022 22:00,Porter,TX,USA,Fireball,Orange ball of light floats across the night sky,01/02/2023,03/06/2023,
https://nuforc.org/sighting/?id=173972,12/31/2022 21:28,Missoula,MT,USA,Light,Two lights moving in symmetry.,01/16/2023,03/06/2023,
https://nuforc.org/sighting/?id=173666,12/31/2022 21:24,Phoenix,AZ,USA,Circle,Flashing red light that zoomed off,01/01/2023,03/06/2023,
https://nuforc.org/sighting/?id=177880,12/31/2022 20:38,Rhoon,,Netherlands,Circle,An unknown red round ball is visible in two videos.,08/29/2023,09/10/2023,Y
https://nuforc.org/sighting/?id=173732,12/31/2022 20:30,Brazoria,TX,USA,Circle,2 rapid moving sudden halt and combine,01/04/2023,03/06/2023,
https://nuforc.org/sighting/?id=174369,12/31/2022 20:19,Munich,Bavaria,Germany,Other,"While photographing my son on New Year’s Eve, this crescent shaped object appears in three separate photo, in the span of three minute.",02/09/2023,03/06/2023,Y
https://nuforc.org/sighting/?id=173659,12/31/2022 20:15,Vero Beach,FL,USA,Triangle,A triangular or boomerang shape silently flying 500-1000 feet off the ground,12/31/2022,03/06/2023,
https://nuforc.org/sighting/?id=173939,12/31/2022 19:40,Cass Lake,MN,USA,Orb,Glowing orange circles pulsating silently east to west,01/15/2023,03/06/2023,Y
https://nuforc.org/sighting/?id=173658,12/31/2022 19:02,Chelsea,AL,USA,Circle,Hover then depart,12/31/2022,03/06/2023,
https://nuforc.org/sighting/?id=173710,12/31/2022 19:00,Melbourne,FL,USA,Oval,An unidentified lighted disc hovering,01/03/2023,03/06/2023,
https://nuforc.org/sighting/?id=173753,12/31/2022 07:00,Bend,OR,USA,Changing,"I went out to walk my dog around 7 o’clock in the morning on New Year’s Eve, but I spotted a strange glowing circle in the sky.",01/05/2023,03/06/2023,
https://nuforc.org/sighting/?id=173651,12/31/2022 01:19,Flushing,NY,USA,Triangle,"3 large lights, none flashing, flying less than 2k feet above the ground, and completely silent",12/30/2022,03/06/2023,
